metric,plugin
Gpu3_fp16_active,ganglia_pub
Gpu3_fp32_active,ganglia_pub
Gpu3_fp64_active,ganglia_pub
Gpu3_gpu_temp,ganglia_pub
Gpu3_gpu_util_samples,ganglia_pub
Gpu3_gpu_utilization,ganglia_pub
Gpu3_gr_engine_active,ganglia_pub
Gpu3_inforom_config_checksum,ganglia_pub
Gpu3_inforom_config_valid,ganglia_pub
Gpu3_low_util_violation,ganglia_pub
Gpu3_mem_app_clock,ganglia_pub
Gpu3_mem_copy_utilization,ganglia_pub
Gpu3_mem_util_samples,ganglia_pub
Gpu3_memory_clock,ganglia_pub
Gpu3_memory_max_clock,ganglia_pub
Gpu3_memory_temp,ganglia_pub
Gpu3_nvlink_bandwidth_total,ganglia_pub
Gpu3_nvlink_data_crc_error_count_total,ganglia_pub
Gpu3_nvlink_flit_crc_error_count_total,ganglia_pub
Gpu3_nvlink_recovery_error_count_total,ganglia_pub
Gpu3_nvlink_replay_error_count_total,ganglia_pub
Gpu3_nvlink_rx_bytes,ganglia_pub
Gpu3_nvlink_tx_bytes,ganglia_pub
Gpu3_pcie_replay_counter,ganglia_pub
Gpu3_pcie_rx_bytes,ganglia_pub
Gpu3_pcie_tx_bytes,ganglia_pub
Gpu3_power_management_limit,ganglia_pub
Gpu3_power_management_limit_default,ganglia_pub
Gpu3_power_management_limit_max,ganglia_pub
Gpu3_power_management_limit_min,ganglia_pub
Gpu3_power_usage,ganglia_pub
Gpu3_power_violation,ganglia_pub
Gpu3_pstate,ganglia_pub
Gpu3_reliability_violation,ganglia_pub
Gpu3_retired_pages_dbe,ganglia_pub
Gpu3_retired_pages_pending,ganglia_pub
Gpu3_retired_pages_sbe,ganglia_pub
Gpu3_shutdown_temp,ganglia_pub
Gpu3_slowdown_temp,ganglia_pub
Gpu3_sm_active,ganglia_pub
Gpu3_sm_app_clock,ganglia_pub
Gpu3_sm_clock,ganglia_pub
Gpu3_sm_max_clock,ganglia_pub
Gpu3_sm_occupancy,ganglia_pub
Gpu3_sync_boost_violation,ganglia_pub
Gpu3_tensor_active,ganglia_pub
Gpu3_thermal_violation,ganglia_pub
Gpu3_total_energy_consumption,ganglia_pub
Gpu3_video_clock,ganglia_pub
Gpu3_video_max_clock,ganglia_pub
Gpu3_virtualization_mode,ganglia_pub
Gpu3_xid_errors,ganglia_pub
boottime,ganglia_pub
bytes_in,ganglia_pub
bytes_out,ganglia_pub
cpu_aidle,ganglia_pub
cpu_idle,ganglia_pub
cpu_nice,ganglia_pub
cpu_num,ganglia_pub
cpu_speed,ganglia_pub
cpu_steal,ganglia_pub
cpu_system,ganglia_pub
cpu_user,ganglia_pub
cpu_wio,ganglia_pub
disk_free,ganglia_pub
disk_total,ganglia_pub
gexec,ganglia_pub
load_fifteen,ganglia_pub
load_five,ganglia_pub
load_one,ganglia_pub
machine_type,ganglia_pub
mem_buffers,ganglia_pub
mem_cached,ganglia_pub
mem_free,ganglia_pub
mem_shared,ganglia_pub
mem_total,ganglia_pub
os_name,ganglia_pub
os_release,ganglia_pub
part_max_used,ganglia_pub
