episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,84000,0,84000,0,4000,0,625.2418788826259,0.0,84000,0,84000,False,2,21,0bf95_00000,2023-12-14_19-32-16,1702600336,6.3995959758758545,136.8952751159668,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,136.8952751159668,21,84000,0,84000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6490.152,3081.199,1.721,84000,0,84000,0,28.55,82.8,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.7323558211469574,0.7323558211469574,-0.005073016391260855,9.997815328366212,15211.183806136727,-2.3910358770569758e-05,7.8148651666986915,0.016376843311141486,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,88000,0,88000,0,4000,0,645.9666606641092,0.0,88000,0,88000,False,2,22,0bf95_00000,2023-12-14_19-32-22,1702600342,6.1937360763549805,143.08901119232178,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,143.08901119232178,22,88000,0,88000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6487.073,3081.076,1.686,88000,0,88000,0,34.2125,82.25,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.2848461269458601,0.2848461269458601,-0.01666145040236636,9.997541107348543,11656.191708172308,-0.0001310329320334168,7.801036667976298,0.005177594022088457,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,92000,0,92000,0,4000,0,660.0738555575402,0.0,92000,0,92000,False,2,23,0bf95_00000,2023-12-14_19-32-28,1702600348,6.061134099960327,149.1501452922821,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,149.1501452922821,23,92000,0,92000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6461.007,3080.363,1.687,92000,0,92000,0,25.144444444444446,82.0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.4049944778892404,0.4049944778892404,-0.011872911574577155,10.0,15718.817398429172,-0.0001950161670570943,7.813020735661358,0.008140688860639358,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,96000,0,96000,0,4000,0,642.3009675545903,0.0,96000,0,96000,False,2,24,0bf95_00000,2023-12-14_19-32-34,1702600354,6.228961706161499,155.3791069984436,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,155.3791069984436,24,96000,0,96000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6433.757,3068.197,1.682,96000,0,96000,0,31.700000000000003,82.36666666666669,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.6303392104995149,0.6303392104995149,-0.013473001246684109,10.0,24801.34799565232,-0.000209728601390619,7.852597505044836,0.013971163078834684,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,100000,0,100000,0,4000,0,640.4465515926365,0.0,100000,0,100000,False,2,25,0bf95_00000,2023-12-14_19-32-40,1702600360,6.246942043304443,161.62604904174805,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,161.62604904174805,25,100000,0,100000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6441.23,3067.073,1.686,100000,0,100000,0,30.533333333333335,82.16666666666667,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.5302348953447362,0.5302348953447362,-0.017372493129988103,10.0,39802.99661847015,0.00011602787574979543,7.870358676036029,0.01149954989889519,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,104000,0,104000,0,4000,0,618.0710265243993,0.0,104000,0,104000,False,2,26,0bf95_00000,2023-12-14_19-32-47,1702600367,6.47334098815918,168.09939002990723,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,168.09939002990723,26,104000,0,104000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6477.608,3071.606,1.718,104000,0,104000,0,30.411111111111115,82.32222222222222,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.40431493990965234,0.40431493990965234,-0.017112587984186658,10.0,37127.64649478612,-3.156542523837547e-05,7.861071699463737,0.008257843844028506,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,108000,0,108000,0,4000,0,600.6756395097487,0.0,108000,0,108000,False,2,27,0bf95_00000,2023-12-14_19-32-54,1702600374,6.660607099533081,174.7599971294403,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,174.7599971294403,27,108000,0,108000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6522.831,3087.405,1.695,108000,0,108000,0,32.769999999999996,81.67,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.35840041528759736,0.35840041528759736,-0.01729050321804324,10.0,48035.929050339815,4.894564400857954e-05,7.86982374760642,0.0070828175494733235,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,112000,0,112000,0,4000,0,581.6642122118928,0.0,112000,0,112000,False,2,28,0bf95_00000,2023-12-14_19-33-00,1702600380,6.878329753875732,181.63832688331604,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,181.63832688331604,28,112000,0,112000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6351.362,2906.962,1.726,112000,0,112000,0,38.333333333333336,82.38888888888889,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.3022891146097102,0.3022891146097102,-0.016184418988940335,10.0,52836.34719607876,5.730897632997427e-05,7.866539225649478,0.005612837062000723,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,116000,0,116000,0,4000,0,614.7095683989783,0.0,116000,0,116000,False,2,29,0bf95_00000,2023-12-14_19-33-07,1702600387,6.508444786071777,188.14677166938782,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,188.14677166938782,29,116000,0,116000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6371.57,2924.533,1.724,116000,0,116000,0,28.919999999999998,82.37,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.4086668816075396,0.4086668816075396,-0.017089029649463194,10.0,48534.86093666711,4.2104835449251286e-05,7.8628547628805325,0.008369044980954912,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,120000,0,120000,0,4000,0,623.5104064728592,0.0,120000,0,120000,False,2,30,0bf95_00000,2023-12-14_19-33-13,1702600393,6.416620969772339,194.56339263916016,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,194.56339263916016,30,120000,0,120000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6405.302,2931.419,1.711,120000,0,120000,0,33.76666666666667,82.05555555555556,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.33576821788414707,0.33576821788414707,-0.015282681320053237,10.0,38486.16468612573,-2.5056191344759358e-05,7.8767719375553416,0.0064497871731322865,0.003,0.003,0.0,38.92390441894531
